Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.15,0.39,0.39,34.0,64.0,8696.0,16.0
0.03,0.47,0.41,17.0,63.0,8136.0,5.0
0.02,0.67,0.25,7.0,75.0,3223.0,8.0
0.14,0.56,0.25,8.0,60.0,5050.0,17.0
0.05,0.31,0.56,4.0,81.0,7319.0,9.0
0.0,0.6,0.31,2.0,88.0,5670.0,1.0
0.04,0.48,0.31,6.0,69.0,5015.0,10.0
0.0,0.44,0.47,1.0,78.0,7364.0,6.0
0.15,0.39,0.43,19.0,49.0,3937.0,5.0
0.03,0.29,0.62,20.0,62.0,7528.0,8.0
0.01,0.28,0.67,0.0,81.0,7852.0,19.0
0.03,0.14,0.74,0.0,76.0,8068.0,13.0
0.02,0.39,0.54,9.0,67.0,6989.0,7.0
0.01,0.3,0.54,21.0,84.0,8423.0,20.0
0.07,0.36,0.53,14.0,63.0,7017.0,7.0
0.0,0.19,0.74,23.0,58.0,8038.0,13.0
0.02,0.28,0.52,2.0,41.0,6465.0,14.0
0.02,0.22,0.59,0.0,57.0,8758.0,24.0
0.04,0.18,0.67,33.0,51.0,7882.0,18.0
0.06,0.25,0.28,60.0,18.0,8157.0,9.0
0.06,0.35,0.36,8.0,34.0,8014.0,17.0
0.02,0.18,0.74,6.0,69.0,8730.0,15.0
0.03,0.39,0.32,27.0,41.0,2805.0,7.0
0.06,0.25,0.6,0.0,57.0,4144.0,3.0
0.05,0.1,0.71,16.0,63.0,8430.0,11.0
0.03,0.17,0.77,0.0,64.0,8401.0,7.0
0.04,0.19,0.72,0.0,45.0,7832.0,5.0
0.0,0.13,0.79,0.0,39.0,8206.0,23.0
0.01,0.19,0.79,0.0,29.0,7048.0,33.0
0.04,0.23,0.65,8.0,35.0,5807.0,14.0
0.0,0.16,0.75,6.0,53.0,7274.0,11.0
0.11,0.24,0.52,3.0,37.0,6229.0,12.0
0.02,0.13,0.68,0.0,68.0,8612.0,13.0
0.11,0.43,0.14,0.0,14.0,2901.0,3.0
0.02,0.19,0.76,8.0,39.0,9082.0,17.0
0.03,0.15,0.77,0.0,44.0,9206.0,15.0
0.1,0.43,0.22,1.0,9.0,3144.0,5.0
0.04,0.16,0.74,0.0,61.0,9168.0,17.0
0.02,0.1,0.82,0.0,63.0,9230.0,19.0
0.03,0.09,0.85,4.0,57.0,8980.0,18.0
0.01,0.09,0.85,11.0,56.0,9311.0,22.0
0.04,0.01,0.95,9.0,71.0,9393.0,17.0
0.04,0.45,0.09,32.0,1.0,2754.0,12.0
0.02,0.07,0.87,5.0,50.0,8665.0,17.0
0.0,0.11,0.86,0.0,66.0,9369.0,29.0
0.05,0.11,0.82,12.0,55.0,9449.0,15.0
0.05,0.16,0.79,13.0,67.0,9228.0,25.0
0.02,0.16,0.79,0.0,70.0,9348.0,26.0
0.02,0.14,0.78,41.0,38.0,9137.0,21.0
0.02,0.14,0.84,0.0,60.0,9162.0,20.0
0.05,0.15,0.71,0.0,49.0,9094.0,21.0
0.07,0.18,0.73,0.0,44.0,8970.0,22.0
0.03,0.2,0.74,0.0,47.0,9234.0,18.0
0.02,0.17,0.76,11.0,53.0,9275.0,18.0
0.08,0.24,0.71,0.0,66.0,9110.0,18.0
0.07,0.19,0.71,0.0,41.0,9430.0,27.0
0.05,0.13,0.77,5.0,65.0,8734.0,16.0
0.03,0.17,0.77,2.0,67.0,9171.0,20.0
0.06,0.3,0.55,4.0,55.0,7869.0,9.0
0.04,0.13,0.81,0.0,59.0,9258.0,14.0
0.03,0.09,0.86,0.0,51.0,9296.0,23.0
0.11,0.13,0.78,0.0,80.0,9096.0,16.0
0.06,0.21,0.66,1.0,47.0,9228.0,18.0
0.06,0.17,0.73,10.0,46.0,7092.0,9.0
0.02,0.55,0.15,19.0,15.0,3419.0,2.0
0.04,0.39,0.44,1.0,75.0,8452.0,16.0
0.05,0.34,0.53,12.0,89.0,7707.0,9.0
0.02,0.55,0.3,17.0,66.0,7497.0,10.0
0.0,0.74,0.04,5.0,0.0,2020.0,1.0
0.02,0.7,0.1,11.0,15.0,2197.0,2.0
0.02,0.69,0.18,27.0,35.0,8979.0,10.0
0.07,0.69,0.14,33.0,35.0,8879.0,10.0
0.0,0.75,0.12,21.0,85.0,9016.0,4.0
0.05,0.71,0.09,0.0,88.0,7051.0,17.0
0.02,0.71,0.17,0.0,85.0,9093.0,7.0
0.01,0.72,0.12,10.0,73.0,8487.0,5.0
0.0,0.75,0.11,57.0,36.0,9100.0,3.0
0.14,0.4,0.49,90.0,49.0,8690.0,24.0
0.01,0.71,0.14,92.0,29.0,9244.0,4.0
0.0,0.74,0.02,76.0,23.0,9163.0,2.0
0.0,0.7,0.19,47.0,55.0,9200.0,9.0
0.0,0.74,0.14,0.0,41.0,9349.0,15.0
0.0,0.43,0.28,8.0,37.0,3720.0,1.0
0.04,0.54,0.12,13.0,16.0,6548.0,8.0
0.03,0.52,0.22,10.0,56.0,7006.0,10.0
0.12,0.2,0.19,15.0,1.0,4044.0,12.0
0.0,0.09,0.87,0.0,39.0,9035.0,30.0
,,,22.0,0.0,1724.0,
0.0,0.93,0.01,10.0,23.0,1352.0,0.0
0.0,0.91,0.04,16.0,38.0,707.0,2.0
0.02,0.84,0.1,12.0,32.0,1913.0,7.0
0.0,0.92,0.03,12.0,32.0,1642.0,4.0
0.0,0.96,0.02,10.0,30.0,1525.0,3.0
0.0,0.96,0.0,17.0,41.0,2413.0,2.0
0.07,0.8,0.04,7.0,15.0,1502.0,5.0
0.0,0.95,0.03,8.0,39.0,3006.0,3.0
0.01,0.78,0.06,16.0,43.0,2948.0,5.0
0.01,0.86,0.06,5.0,24.0,2875.0,5.0
0.03,0.81,0.11,10.0,56.0,987.0,13.0
0.19,0.64,0.1,5.0,29.0,1846.0,2.0
0.0,0.89,0.03,3.0,16.0,1815.0,4.0
0.0,0.85,0.08,4.0,22.0,1522.0,4.0
0.0,0.87,0.07,4.0,22.0,1387.0,0.0
0.0,0.89,0.05,5.0,20.0,2676.0,3.0
0.0,0.86,0.04,5.0,14.0,1821.0,1.0
0.06,0.76,0.05,2.0,11.0,2507.0,3.0
0.01,0.83,0.1,1.0,0.0,2910.0,4.0
0.01,0.86,0.04,2.0,16.0,1909.0,2.0
0.03,0.5,0.32,5.0,53.0,4464.0,22.0
0.02,0.93,0.02,18.0,48.0,2393.0,4.0
0.0,0.9,0.07,16.0,40.0,2387.0,5.0
0.01,0.91,0.05,5.0,36.0,2508.0,2.0
0.0,0.9,0.02,5.0,44.0,1713.0,1.0
0.01,0.87,0.1,61.0,63.0,2141.0,8.0
0.19,0.15,0.63,8.0,74.0,4455.0,31.0
0.21,0.21,0.61,4.0,94.0,8008.0,21.0
0.4,0.19,0.47,22.0,93.0,6984.0,22.0
0.13,0.12,0.7,1.0,87.0,8491.0,32.0
0.19,0.11,0.63,14.0,87.0,7988.0,25.0
0.29,0.13,0.58,11.0,83.0,6964.0,18.0
0.2,0.12,0.76,9.0,91.0,7835.0,22.0
0.16,0.07,0.75,12.0,78.0,8845.0,28.0
0.58,0.1,0.29,16.0,76.0,7926.0,40.0
0.53,0.08,0.33,46.0,61.0,6342.0,44.0
0.87,0.04,0.07,51.0,83.0,5033.0,23.0
0.89,0.04,0.08,12.0,74.0,5480.0,47.0
0.71,0.17,0.07,86.0,73.0,2341.0,16.0
0.66,0.23,0.08,1.0,86.0,2523.0,17.0
0.87,0.02,0.09,1.0,54.0,6248.0,46.0
0.86,0.0,0.13,0.0,84.0,6286.0,40.0
0.66,0.1,0.2,5.0,61.0,6644.0,50.0
0.81,0.02,0.15,4.0,81.0,6654.0,29.0
0.82,0.02,0.14,0.0,79.0,7104.0,34.0
0.36,0.29,0.33,10.0,81.0,6928.0,32.0
0.4,0.08,0.5,50.0,91.0,6737.0,43.0
0.68,0.03,0.28,28.0,68.0,6815.0,16.0
0.54,0.11,0.34,5.0,80.0,6595.0,22.0
0.57,0.03,0.36,24.0,82.0,6249.0,14.0
0.6,0.24,0.15,,0.0,8978.0,
0.12,0.47,0.36,11.0,69.0,1851.0,14.0
0.36,0.19,0.42,27.0,75.0,3733.0,12.0
0.26,0.46,0.19,4.0,79.0,4188.0,10.0
0.24,0.43,0.26,11.0,59.0,4349.0,9.0
0.17,0.67,0.1,14.0,34.0,2748.0,10.0
0.47,0.1,0.33,29.0,81.0,4584.0,15.0
0.29,0.51,0.12,16.0,49.0,4435.0,8.0
0.07,0.73,0.1,18.0,38.0,2849.0,8.0
0.02,0.81,0.06,4.0,34.0,2820.0,5.0
0.04,0.88,0.03,3.0,43.0,4132.0,3.0
0.03,0.83,0.06,3.0,22.0,3139.0,2.0
0.02,0.83,0.08,8.0,42.0,3363.0,5.0
0.07,0.78,0.08,0.0,36.0,3456.0,8.0
0.0,0.84,0.08,2.0,43.0,2860.0,0.0
0.01,0.92,0.03,1.0,71.0,3214.0,2.0
0.02,0.77,0.12,5.0,31.0,4035.0,6.0
0.13,0.72,0.07,0.0,1.0,2658.0,6.0
0.14,0.55,0.22,2.0,58.0,3819.0,4.0
0.2,0.6,0.09,5.0,46.0,1983.0,11.0
0.05,0.79,0.03,6.0,13.0,2729.0,5.0
0.03,0.84,0.04,1.0,12.0,2538.0,3.0
0.09,0.41,0.09,5.0,16.0,1948.0,4.0
0.59,0.32,0.06,5.0,87.0,5981.0,8.0
0.39,0.48,0.11,3.0,47.0,3261.0,12.0
0.5,0.3,0.14,3.0,66.0,4298.0,7.0
0.33,0.46,0.09,11.0,75.0,3046.0,23.0
0.19,0.61,0.1,3.0,48.0,2712.0,6.0
0.1,0.74,0.03,2.0,29.0,2410.0,8.0
0.21,0.67,0.05,12.0,46.0,3212.0,6.0
0.15,0.71,0.01,4.0,12.0,1443.0,8.0
0.08,0.78,0.04,9.0,49.0,1778.0,2.0
0.0,0.92,0.04,6.0,80.0,2209.0,6.0
0.04,0.88,0.02,3.0,50.0,2005.0,2.0
0.01,0.69,0.04,1.0,10.0,1694.0,1.0
0.01,0.9,0.05,4.0,32.0,1147.0,2.0
0.1,0.6,0.14,6.0,62.0,3580.0,6.0
0.05,0.72,0.06,4.0,47.0,1043.0,5.0
0.03,0.65,0.02,3.0,21.0,534.0,8.0
0.0,0.65,0.08,3.0,42.0,1519.0,8.0
0.07,0.32,0.04,4.0,10.0,3778.0,3.0
0.0,0.49,0.02,3.0,6.0,2989.0,0.0
0.02,0.41,0.01,3.0,10.0,2558.0,1.0
0.01,0.54,0.01,2.0,21.0,1643.0,0.0
0.03,0.74,0.05,3.0,11.0,3288.0,1.0
0.06,0.62,0.04,1.0,7.0,3684.0,0.0
0.12,0.53,0.29,9.0,48.0,3532.0,10.0
0.11,0.41,0.4,0.0,12.0,4006.0,4.0
0.1,0.43,0.13,4.0,22.0,4001.0,4.0
0.02,0.48,0.27,1.0,16.0,3824.0,16.0
0.08,0.57,0.16,2.0,15.0,2309.0,7.0
0.07,0.66,0.05,2.0,78.0,3213.0,7.0
0.02,0.86,0.02,1.0,56.0,1307.0,20.0
0.05,0.7,0.18,7.0,47.0,4060.0,7.0
0.12,0.39,0.4,28.0,51.0,3965.0,6.0
0.12,0.47,0.32,14.0,63.0,3877.0,12.0
0.13,0.44,0.19,5.0,42.0,3047.0,1.0
0.26,0.19,0.11,4.0,6.0,3805.0,2.0
0.17,0.3,0.24,0.0,30.0,3606.0,14.0
0.35,0.12,0.31,8.0,44.0,2876.0,12.0
0.14,0.14,0.13,9.0,10.0,3736.0,12.0
0.12,0.36,0.12,5.0,31.0,3895.0,3.0
0.26,0.16,0.04,4.0,15.0,3389.0,5.0
0.15,0.28,0.04,0.0,1.0,2268.0,15.0
0.15,0.32,0.13,4.0,15.0,2855.0,1.0
0.25,0.38,0.15,3.0,47.0,3072.0,2.0
0.2,0.45,0.29,6.0,61.0,2858.0,1.0
0.05,0.6,0.24,12.0,58.0,2836.0,6.0
0.05,0.65,0.21,4.0,63.0,3168.0,4.0
0.14,0.59,0.19,6.0,58.0,3105.0,4.0
0.05,0.65,0.16,4.0,34.0,4054.0,3.0
0.13,0.37,0.1,5.0,20.0,5014.0,0.0
0.09,0.54,0.13,11.0,51.0,3244.0,8.0
0.16,0.51,0.15,4.0,46.0,4592.0,13.0
0.08,0.66,0.15,0.0,66.0,3428.0,6.0
0.0,0.27,0.1,1.0,7.0,2847.0,3.0
0.09,0.17,0.01,0.0,4.0,3431.0,6.0
0.04,0.23,0.01,2.0,9.0,3033.0,2.0
0.02,0.33,0.01,5.0,3.0,1638.0,5.0
0.09,0.14,0.06,2.0,5.0,2606.0,11.0
0.02,0.15,0.04,3.0,11.0,2297.0,3.0
0.01,0.39,0.08,1.0,27.0,2076.0,1.0
0.01,0.1,0.02,4.0,31.0,4268.0,5.0
0.02,0.35,0.01,12.0,8.0,3192.0,3.0
0.07,0.55,0.15,7.0,43.0,4789.0,6.0
0.08,0.17,0.04,5.0,7.0,4916.0,3.0
0.11,0.07,0.05,2.0,8.0,6697.0,1.0
0.07,0.11,0.1,2.0,5.0,5127.0,13.0
0.15,0.36,0.23,1.0,64.0,5136.0,4.0
0.07,0.53,0.14,3.0,62.0,5931.0,2.0
0.06,0.48,0.15,0.0,60.0,4958.0,5.0
0.11,0.53,0.18,4.0,50.0,4329.0,2.0
0.08,0.48,0.09,3.0,44.0,4253.0,9.0
0.19,0.32,0.05,14.0,16.0,5599.0,5.0
0.12,0.36,0.13,5.0,20.0,4277.0,6.0
0.05,0.52,0.31,0.0,59.0,5528.0,2.0
0.07,0.49,0.18,1.0,59.0,4907.0,6.0
0.08,0.55,0.07,7.0,36.0,4487.0,3.0
0.0,0.75,0.1,0.0,75.0,2726.0,2.0
0.04,0.7,0.06,4.0,63.0,3300.0,0.0
0.09,0.68,0.06,13.0,64.0,3422.0,4.0
0.08,0.67,0.12,3.0,73.0,4009.0,0.0
0.0,0.67,0.14,3.0,56.0,3889.0,2.0
0.1,0.67,0.1,2.0,63.0,3619.0,5.0
0.02,0.57,0.14,4.0,65.0,2111.0,1.0
0.06,0.2,0.09,3.0,59.0,4823.0,9.0
0.08,0.25,0.0,2.0,25.0,3910.0,5.0
0.07,0.4,0.09,1.0,69.0,4899.0,3.0
0.04,0.58,0.11,4.0,53.0,4101.0,2.0
0.06,0.29,0.13,1.0,36.0,5985.0,2.0
0.12,0.44,0.3,2.0,51.0,5318.0,5.0
0.08,0.59,0.23,6.0,67.0,4199.0,2.0
0.2,0.34,0.26,10.0,49.0,4220.0,0.0
0.05,0.42,0.32,9.0,63.0,6424.0,11.0
0.04,0.53,0.35,2.0,62.0,5451.0,6.0
0.04,0.18,0.1,2.0,8.0,5569.0,1.0
0.04,0.45,0.16,4.0,80.0,5781.0,3.0
0.11,0.39,0.16,3.0,49.0,5053.0,5.0
0.09,0.55,0.31,0.0,67.0,5050.0,4.0
0.09,0.45,0.33,4.0,78.0,5627.0,2.0
0.17,0.25,0.52,7.0,25.0,5325.0,10.0
0.11,0.49,0.35,9.0,63.0,4566.0,6.0
0.07,0.4,0.26,6.0,57.0,6209.0,9.0
0.09,0.18,0.52,14.0,37.0,5152.0,15.0
0.1,0.31,0.45,6.0,65.0,6318.0,5.0
0.18,0.28,0.32,3.0,47.0,6575.0,16.0
0.09,0.19,0.69,4.0,37.0,6108.0,4.0
0.05,0.24,0.71,3.0,67.0,6538.0,10.0
0.01,0.22,0.75,1.0,70.0,6374.0,11.0
0.03,0.17,0.78,1.0,58.0,6704.0,22.0
0.13,0.14,0.73,0.0,85.0,7237.0,15.0
0.14,0.06,0.77,9.0,40.0,5885.0,15.0
0.05,0.1,0.84,3.0,52.0,5943.0,30.0
0.14,0.18,0.68,4.0,46.0,7940.0,13.0
0.04,0.12,0.82,2.0,51.0,5358.0,32.0
0.08,0.13,0.8,4.0,50.0,6387.0,27.0
0.04,0.1,0.86,4.0,73.0,3087.0,13.0
0.09,0.54,0.11,3.0,38.0,4001.0,45.0
0.08,0.37,0.4,0.0,49.0,6669.0,53.0
0.12,0.14,0.67,0.0,67.0,8196.0,41.0
0.26,0.07,0.63,4.0,30.0,6569.0,27.0
0.23,0.12,0.65,14.0,57.0,5929.0,17.0
0.05,0.15,0.78,10.0,86.0,7025.0,33.0
0.22,0.16,0.57,1.0,36.0,6126.0,26.0
0.12,0.11,0.74,0.0,55.0,6416.0,43.0
0.22,0.45,0.26,4.0,36.0,1893.0,5.0
0.25,0.3,0.16,2.0,31.0,3616.0,27.0
0.09,0.4,0.38,3.0,49.0,4391.0,17.0
0.17,0.34,0.31,1.0,22.0,5551.0,6.0
0.13,0.39,0.17,2.0,16.0,4034.0,3.0
0.25,0.27,0.12,6.0,3.0,3394.0,11.0
0.27,0.25,0.09,0.0,5.0,2504.0,5.0
0.21,0.37,0.03,2.0,2.0,3045.0,2.0
0.07,0.56,0.11,4.0,23.0,2577.0,0.0
0.27,0.31,0.22,3.0,13.0,3286.0,10.0
0.02,0.76,0.16,7.0,57.0,4016.0,5.0
0.04,0.53,0.08,5.0,60.0,2231.0,1.0
0.01,0.6,0.1,2.0,49.0,2876.0,3.0
0.01,0.7,0.1,7.0,48.0,1168.0,2.0
0.01,0.55,0.06,1.0,5.0,1221.0,7.0
0.02,0.68,0.03,5.0,6.0,2356.0,4.0
0.04,0.59,0.06,4.0,6.0,2639.0,2.0
0.02,0.7,0.08,4.0,17.0,1583.0,3.0
0.05,0.58,0.06,0.0,7.0,3020.0,6.0
0.02,0.69,0.11,3.0,40.0,3865.0,2.0
0.04,0.53,0.1,3.0,36.0,3497.0,8.0
0.02,0.56,0.36,4.0,69.0,3957.0,8.0
0.08,0.57,0.32,15.0,78.0,5786.0,3.0
0.08,0.66,0.15,3.0,45.0,3701.0,7.0
0.09,0.63,0.13,11.0,34.0,2061.0,6.0
0.1,0.51,0.22,1.0,43.0,4694.0,3.0
0.35,0.33,0.15,35.0,7.0,2443.0,12.0
0.11,0.61,0.06,0.0,35.0,3386.0,4.0
0.08,0.48,0.2,0.0,31.0,3869.0,11.0
0.04,0.67,0.2,4.0,45.0,3603.0,4.0
0.12,0.57,0.18,1.0,73.0,4728.0,1.0
0.14,0.38,0.17,3.0,17.0,3257.0,7.0
0.05,0.69,0.2,2.0,38.0,2154.0,4.0
0.12,0.66,0.24,4.0,60.0,3228.0,1.0
0.08,0.67,0.21,5.0,63.0,3540.0,8.0
0.08,0.62,0.09,3.0,8.0,955.0,13.0
0.02,0.72,0.19,10.0,36.0,1714.0,0.0
0.08,0.74,0.1,15.0,40.0,3046.0,3.0
0.07,0.56,0.19,9.0,15.0,1285.0,3.0
0.04,0.69,0.11,3.0,32.0,2479.0,4.0
0.03,0.75,0.13,1.0,37.0,4010.0,3.0
0.01,0.79,0.14,1.0,26.0,3556.0,5.0
0.01,0.65,0.16,2.0,73.0,3788.0,7.0
0.17,0.53,0.23,0.0,21.0,3055.0,8.0
0.04,0.69,0.11,2.0,25.0,3341.0,2.0
0.26,0.21,0.27,2.0,40.0,2390.0,8.0
0.05,0.73,0.09,0.0,7.0,2880.0,1.0
0.03,0.7,0.07,0.0,11.0,1735.0,4.0
0.06,0.61,0.11,1.0,4.0,1485.0,1.0
0.04,0.59,0.12,1.0,4.0,2451.0,7.0
0.06,0.62,0.22,6.0,51.0,1129.0,3.0
0.03,0.76,0.14,9.0,40.0,2748.0,5.0
0.05,0.76,0.11,6.0,42.0,3171.0,7.0
0.04,0.77,0.15,6.0,26.0,1684.0,3.0
0.01,0.63,0.02,7.0,2.0,2531.0,3.0
0.04,0.75,0.03,1.0,5.0,3535.0,6.0
0.03,0.82,0.05,0.0,6.0,3793.0,4.0
0.03,0.86,0.03,5.0,10.0,4011.0,5.0
0.04,0.87,0.04,3.0,4.0,3212.0,5.0
0.04,0.64,0.06,10.0,11.0,2369.0,3.0
0.02,0.76,0.1,3.0,14.0,2452.0,3.0
0.02,0.65,0.22,6.0,32.0,3827.0,6.0
0.11,0.31,0.06,1.0,7.0,1955.0,6.0
0.02,0.6,0.11,0.0,36.0,1635.0,4.0
0.08,0.38,0.06,0.0,5.0,2122.0,1.0
0.02,0.5,0.09,0.0,9.0,2279.0,2.0
0.18,0.29,0.05,15.0,5.0,1300.0,3.0
0.09,0.35,0.03,7.0,20.0,2879.0,2.0
0.09,0.21,0.08,1.0,3.0,2984.0,1.0
0.05,0.46,0.04,3.0,7.0,2871.0,5.0
0.0,0.45,0.0,2.0,1.0,3280.0,1.0
0.07,0.26,0.02,2.0,7.0,2518.0,1.0
0.05,0.26,0.04,2.0,7.0,4125.0,2.0
0.07,0.15,0.04,0.0,5.0,3445.0,3.0
0.11,0.28,0.01,0.0,8.0,3490.0,9.0
0.05,0.74,0.06,6.0,37.0,5099.0,1.0
0.12,0.33,0.09,3.0,29.0,2494.0,12.0
0.21,0.25,0.18,15.0,7.0,3667.0,10.0
0.44,0.3,0.17,12.0,10.0,5262.0,24.0
0.12,0.36,0.32,3.0,38.0,4952.0,2.0
0.08,0.67,0.16,4.0,24.0,2750.0,6.0
0.18,0.42,0.26,7.0,20.0,5676.0,36.0
0.07,0.49,0.18,4.0,26.0,4846.0,14.0
0.02,0.85,0.02,57.0,43.0,2827.0,7.0
0.0,0.93,0.05,9.0,55.0,1015.0,3.0
0.02,0.9,0.04,15.0,72.0,966.0,3.0
0.0,0.84,0.11,40.0,59.0,1110.0,2.0
0.02,0.82,0.13,75.0,47.0,1224.0,5.0
0.0,0.88,0.06,17.0,45.0,3421.0,1.0
0.0,0.84,0.09,2.0,39.0,3297.0,2.0
0.01,0.85,0.09,4.0,42.0,2871.0,2.0
0.0,0.85,0.04,2.0,49.0,2579.0,6.0
0.02,0.87,0.03,5.0,32.0,753.0,3.0
0.02,0.82,0.09,2.0,24.0,2042.0,3.0
0.0,0.93,0.04,2.0,20.0,1534.0,3.0
0.0,0.88,0.06,4.0,14.0,1717.0,2.0
0.0,0.94,0.02,2.0,19.0,1837.0,6.0
0.0,0.94,0.03,2.0,51.0,2255.0,0.0
0.0,0.88,0.03,4.0,26.0,1594.0,2.0
0.07,0.72,0.14,67.0,43.0,1241.0,24.0
0.18,0.63,0.11,89.0,42.0,194.0,28.0
0.06,0.77,0.11,44.0,42.0,3237.0,10.0
0.04,0.7,0.19,9.0,50.0,4332.0,6.0
0.1,0.69,0.11,6.0,46.0,5136.0,13.0
0.0,0.86,0.1,3.0,35.0,3351.0,2.0
0.06,0.79,0.08,31.0,51.0,3475.0,2.0
0.04,0.82,0.07,2.0,53.0,4294.0,6.0
0.0,0.83,0.08,2.0,30.0,4301.0,5.0
0.11,0.68,0.15,4.0,54.0,841.0,1.0
0.19,0.58,0.14,1.0,19.0,3879.0,5.0
0.02,0.8,0.11,3.0,11.0,3433.0,1.0
0.02,0.81,0.09,2.0,3.0,3572.0,4.0
0.02,0.86,0.08,2.0,16.0,1997.0,5.0
0.09,0.71,0.11,2.0,34.0,3187.0,7.0
0.14,0.65,0.12,4.0,27.0,2743.0,3.0
0.01,0.61,0.13,1.0,8.0,3872.0,6.0
0.0,0.77,0.02,3.0,11.0,1896.0,5.0
0.01,0.75,0.02,3.0,14.0,1728.0,1.0
0.24,0.18,0.59,2.0,65.0,4841.0,22.0
0.02,0.72,0.2,3.0,74.0,5032.0,8.0
0.01,0.84,0.11,6.0,53.0,4085.0,6.0
0.03,0.93,0.02,6.0,64.0,1968.0,3.0
0.01,0.93,0.03,36.0,39.0,1108.0,1.0
0.0,0.9,0.05,12.0,58.0,1616.0,1.0
0.0,0.94,0.03,79.0,22.0,2860.0,3.0
0.0,0.94,0.03,13.0,49.0,2037.0,1.0
0.12,0.68,0.08,1.0,36.0,2438.0,7.0
0.02,0.87,0.06,3.0,17.0,2199.0,1.0
0.0,0.66,0.33,0.0,46.0,3179.0,0.0
0.08,0.73,0.06,6.0,1.0,1836.0,5.0
0.22,0.47,0.2,4.0,21.0,4497.0,11.0
0.03,0.76,0.07,7.0,9.0,3749.0,12.0
0.0,0.88,0.06,38.0,32.0,2992.0,5.0
0.21,0.55,0.23,48.0,30.0,3928.0,16.0
0.26,0.39,0.29,39.0,42.0,4143.0,14.0
0.51,0.11,0.37,15.0,42.0,5413.0,31.0
0.06,0.49,0.42,5.0,64.0,5738.0,19.0
0.06,0.45,0.41,13.0,29.0,5023.0,30.0
0.13,0.45,0.45,7.0,59.0,5823.0,16.0
0.02,0.74,0.16,8.0,32.0,4065.0,9.0
0.04,0.92,0.03,5.0,47.0,3315.0,17.0
0.05,0.85,0.06,6.0,62.0,3442.0,8.0
0.04,0.86,0.07,2.0,37.0,4076.0,4.0
0.0,0.95,0.02,5.0,64.0,2857.0,8.0
0.04,0.85,0.06,10.0,43.0,2395.0,1.0
0.17,0.53,0.22,2.0,7.0,2751.0,12.0
0.1,0.71,0.11,0.0,9.0,3026.0,10.0
0.0,0.9,0.01,1.0,6.0,2735.0,2.0
0.36,0.48,0.07,2.0,13.0,4993.0,3.0
0.01,0.79,0.14,3.0,55.0,2596.0,6.0
0.28,0.4,0.26,2.0,42.0,6173.0,28.0
0.19,0.7,0.09,1.0,46.0,4830.0,8.0
0.5,0.32,0.16,7.0,63.0,5145.0,18.0
0.65,0.07,0.26,12.0,59.0,7062.0,48.0
0.62,0.03,0.33,14.0,56.0,6072.0,26.0
0.02,0.92,0.04,5.0,78.0,6148.0,5.0
0.51,0.25,0.22,13.0,62.0,6337.0,16.0
0.67,0.07,0.25,19.0,48.0,5304.0,25.0
0.51,0.21,0.14,3.0,25.0,4384.0,12.0
0.49,0.33,0.05,3.0,39.0,2841.0,6.0
0.3,0.54,0.06,1.0,19.0,3279.0,7.0
0.01,0.93,0.03,25.0,35.0,2508.0,6.0
0.09,0.77,0.05,2.0,56.0,1989.0,3.0
0.08,0.75,0.13,14.0,47.0,5427.0,13.0
0.05,0.79,0.11,7.0,56.0,6536.0,10.0
0.0,0.89,0.07,31.0,59.0,5104.0,8.0
0.0,0.96,0.02,9.0,53.0,4804.0,7.0
0.05,0.73,0.19,10.0,53.0,3805.0,14.0
0.0,0.88,0.07,3.0,49.0,3041.0,3.0
0.09,0.85,0.03,3.0,27.0,1498.0,6.0
0.0,0.93,0.02,2.0,11.0,2235.0,5.0
0.01,0.94,0.02,2.0,20.0,1320.0,1.0
0.04,0.92,0.03,4.0,46.0,3349.0,4.0
0.0,0.92,0.02,4.0,26.0,3607.0,2.0
0.02,0.74,0.2,0.0,60.0,5899.0,10.0
0.0,0.96,0.0,17.0,59.0,3492.0,9.0
0.0,0.97,0.02,8.0,51.0,2926.0,3.0
0.0,0.87,0.05,14.0,66.0,5039.0,2.0
0.0,0.98,0.0,77.0,41.0,2264.0,3.0
0.01,0.94,0.02,16.0,28.0,2513.0,1.0
0.03,0.59,0.05,2.0,9.0,1428.0,1.0
0.03,0.66,0.04,2.0,3.0,2330.0,0.0
0.02,0.81,0.06,1.0,3.0,2330.0,2.0
0.03,0.68,0.06,1.0,5.0,1981.0,1.0
0.01,0.74,0.06,3.0,2.0,2590.0,2.0
0.0,0.78,0.02,1.0,1.0,2167.0,3.0
0.0,0.92,0.04,3.0,15.0,1114.0,3.0
0.01,0.89,0.05,4.0,8.0,1666.0,4.0
0.06,0.9,0.0,0.0,0.0,558.0,0.0
0.02,0.82,0.08,1.0,7.0,2347.0,2.0
0.0,0.92,0.02,0.0,14.0,3237.0,8.0
0.02,0.88,0.02,1.0,5.0,2578.0,3.0
0.0,0.85,0.09,2.0,10.0,2046.0,2.0
0.02,0.84,0.07,2.0,6.0,2143.0,5.0
0.03,0.78,0.07,1.0,3.0,3141.0,0.0
0.01,0.79,0.05,1.0,6.0,2160.0,1.0
