Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.19,0.77,0.02,12.0,25.0,321.0,11.0
0.16,0.72,0.09,10.0,25.0,498.0,33.0
0.1,0.88,0.0,12.0,26.0,304.0,11.0
0.1,0.87,0.01,14.0,19.0,232.0,21.0
0.01,0.93,0.0,14.0,10.0,95.0,16.0
0.05,0.91,0.0,10.0,23.0,210.0,32.0
0.02,0.88,0.08,15.0,12.0,321.0,14.0
0.01,0.96,0.0,10.0,21.0,516.0,7.0
0.0,0.92,0.01,10.0,8.0,736.0,19.0
0.07,0.87,0.02,11.0,21.0,1483.0,10.0
0.06,0.86,0.03,5.0,17.0,1410.0,9.0
0.11,0.79,0.01,14.0,23.0,1346.0,15.0
0.3,0.65,0.0,28.0,22.0,1734.0,18.0
0.0,0.94,0.01,8.0,30.0,3896.0,18.0
0.01,0.88,0.05,7.0,14.0,3504.0,14.0
0.05,0.86,0.04,7.0,11.0,3306.0,8.0
0.3,0.62,0.04,5.0,42.0,3593.0,19.0
0.21,0.63,0.13,4.0,19.0,2413.0,13.0
0.15,0.7,0.06,7.0,33.0,3274.0,18.0
0.09,0.75,0.05,3.0,4.0,2370.0,4.0
0.24,0.52,0.14,2.0,1.0,2448.0,16.0
0.4,0.39,0.18,5.0,22.0,3261.0,39.0
0.18,0.74,0.04,8.0,41.0,3484.0,23.0
0.21,0.74,0.02,4.0,76.0,3605.0,25.0
0.55,0.39,0.0,8.0,41.0,3965.0,43.0
0.05,0.9,0.0,10.0,39.0,747.0,4.0
0.11,0.79,0.05,14.0,33.0,2322.0,16.0
0.42,0.51,0.01,9.0,27.0,3869.0,16.0
0.12,0.8,0.05,14.0,10.0,4421.0,8.0
0.17,0.78,0.0,23.0,3.0,3808.0,8.0
0.03,0.9,0.03,30.0,16.0,4279.0,4.0
0.19,0.79,0.0,20.0,10.0,4327.0,12.0
